Time	Gx	Gy	Gz	Ax	Ay	Az
15792	-9.52	218.93	6.81	-0.05	0.01	0.64
15811	-12.91	212.52	10.41	0.02	0.00	0.53
15828	-14.34	213.07	11.37	0.05	-0.00	0.48
15846	-16.53	217.61	13.03	0.05	-0.02	0.35
15865	-16.82	219.59	14.68	0.00	-0.04	0.23
15884	-15.72	215.24	15.43	-0.05	-0.06	0.14
15903	-12.56	204.28	13.02	-0.09	-0.08	0.08
15922	-9.40	197.14	11.20	-0.11	-0.14	0.02
15940	0.85	180.27	10.03	-0.11	-0.14	-0.02
15959	10.71	161.10	11.41	-0.14	-0.08	-0.10
15978	14.76	137.86	13.08	-0.16	-0.06	-0.14
15997	16.08	113.82	13.46	-0.14	-0.05	-0.17
16015	13.90	92.06	13.20	-0.15	-0.04	-0.24
16035	12.48	80.96	12.70	-0.14	-0.04	-0.28
16053	8.19	60.15	10.56	-0.15	-0.04	-0.29
16071	3.27	40.24	7.98	-0.14	-0.04	-0.34
16091	-1.25	22.16	4.62	-0.12	-0.04	-0.40
16110	-4.94	6.55	0.20	-0.12	-0.05	-0.44
16130	-8.03	-7.74	-3.74	-0.13	-0.05	-0.46
16149	-10.16	-22.03	-6.96	-0.12	-0.06	-0.49
16169	-11.12	-32.90	-9.92	-0.08	-0.06	-0.50
16191	-11.69	-38.42	-12.94	-0.08	-0.05	-0.49
16211	-11.31	-44.34	-13.37	-0.10	-0.06	-0.47
16231	-9.67	-52.05	-10.53	-0.10	-0.06	-0.45
16251	-7.45	-58.50	-7.45	-0.09	-0.06	-0.41
16271	-4.33	-63.95	-5.43	-0.09	-0.06	-0.34
16292	-0.92	-71.70	-3.33	-0.12	-0.06	-0.29
16312	1.79	-82.70	-0.73	-0.12	-0.05	-0.23
16332	4.68	-94.15	1.66	-0.11	-0.05	-0.16
16351	7.32	-103.82	3.19	-0.12	-0.04	-0.09
16371	8.87	-117.11	4.36	-0.15	-0.03	0.00
16390	8.88	-133.44	5.08	-0.16	-0.01	0.08
16408	8.54	-142.23	4.70	-0.16	-0.01	0.12
16428	8.15	-159.58	2.17	-0.17	-0.02	0.21
16446	7.83	-179.50	0.84	-0.20	0.01	0.29
16464	4.87	-201.87	2.15	-0.20	0.03	0.42
16483	2.18	-222.89	2.64	-0.16	0.02	0.55
16501	1.16	-231.66	1.37	-0.13	0.04	0.68
16520	-0.84	-246.69	-1.30	-0.13	0.05	0.74
16538	-2.82	-260.76	-3.01	-0.12	0.05	0.88
16558	-1.02	-273.99	-7.13	-0.09	-0.02	1.03
16577	5.42	-283.34	-13.26	-0.04	-0.01	1.20
16596	10.76	-290.13	-18.69	-0.03	0.02	1.37
16616	14.40	-295.93	-23.86	-0.01	-0.01	1.53
16634	21.04	-300.77	-27.71	0.05	-0.01	1.69
16654	23.77	-300.13	-26.69	0.07	0.08	1.86
16671	22.13	-296.52	-13.93	0.04	0.09	1.96
16690	17.91	-299.71	6.39	0.04	0.03	2.17
16708	18.72	-300.69	24.06	0.12	0.02	2.32
16726	17.97	-296.84	45.55	0.06	0.05	2.48
16744	17.41	-298.86	56.12	0.00	0.03	2.54
16762	18.81	-312.59	68.02	0.02	-0.02	2.61
16780	22.34	-315.67	62.67	0.22	0.03	2.71
16799	18.59	-305.05	51.47	0.14	0.10	2.81
16816	15.76	-304.78	43.79	0.02	0.14	2.82
16835	8.68	-316.48	24.69	0.10	0.17	2.83
16852	-0.75	-309.86	4.53	0.38	0.16	2.80
16870	-6.90	-277.01	-11.37	0.42	0.11	2.68
16889	-10.53	-250.09	-23.38	0.27	0.10	2.51
16908	-12.05	-243.62	-33.25	0.11	0.05	2.37
16928	-10.44	-246.92	-35.93	-0.03	-0.00	2.28
16947	-2.73	-265.62	-35.16	-0.15	-0.03	2.23
16967	11.67	-302.78	-26.57	-0.15	-0.08	2.06
16986	28.14	-328.52	-14.91	0.02	-0.06	1.88
