Time	Gx	Gy	Gz	Ax	Ay	Az	Deadlift	Squat	Rest	RowLeft	RowRight	Swing	
7610	97	-222	94	0.34	-0.06	1.97	0.00	0.00	0.00	0.99	0.00	0.01
7644	78	-151	98	0.28	0.01	1.85	0.00	0.00	0.00	1.00	0.00	0.00
7679	22	-106	120	0.09	0.10	1.77	0.00	0.00	0.00	0.99	0.00	0.00
7713	-18	-124	126	-0.00	-0.01	1.56	0.00	0.00	0.00	1.00	0.00	0.00
7748	-24	-145	115	0.04	-0.10	1.36	0.00	0.00	0.00	0.97	0.00	0.03
7783	-16	-156	83	0.07	-0.12	1.17	0.00	0.00	0.00	0.98	0.00	0.02
7818	-4	-144	48	0.20	-0.12	0.96	0.00	0.00	0.00	0.95	0.00	0.05
7853	14	-86	2	0.26	-0.10	0.84	0.00	0.00	0.00	0.78	0.00	0.22
7887	21	-27	-19	0.29	-0.07	0.78	0.00	0.00	0.00	0.51	0.00	0.49
7922	14	54	-28	0.29	-0.05	0.71	0.00	0.00	0.00	0.13	0.00	0.87
7957	4	110	-29	0.28	-0.04	0.71	0.00	0.00	0.00	0.04	0.00	0.96
7992	-11	179	-30	0.30	-0.05	0.81	0.00	0.00	0.00	0.00	0.00	1.00
8026	-21	224	-36	0.25	-0.07	0.97	0.00	0.00	0.00	0.00	0.00	1.00
8061	-21	238	-51	0.09	-0.12	1.18	0.00	0.00	0.00	0.00	0.00	1.00
8096	-16	208	-71	0.02	-0.13	1.36	0.00	0.00	0.00	0.00	0.00	1.00
8131	-11	163	-112	0.08	-0.10	1.55	0.00	0.00	0.00	0.00	0.00	1.00
8165	-16	150	-151	0.14	-0.08	1.57	0.00	0.00	0.00	0.07	0.00	0.93
8201	-34	160	-191	0.19	-0.01	1.68	0.00	0.00	0.00	0.75	0.00	0.25
8236	-72	175	-239	0.12	-0.08	1.75	0.00	0.00	0.00	1.00	0.00	0.00
8271	-94	165	-265	0.06	-0.05	1.83	0.00	0.00	0.00	0.75	0.25	0.00
8305	-126	139	-309	0.04	-0.18	1.76	0.00	0.00	0.00	0.02	0.98	0.00
8341	-122	115	-328	0.01	-0.22	1.76	0.00	0.00	0.00	0.00	1.00	0.00
8375	-121	75	-344	0.02	-0.23	1.66	0.00	0.00	0.00	0.00	1.00	0.00
8411	-117	51	-336	0.05	-0.27	1.56	0.00	0.00	0.00	0.01	0.99	0.00
8445	-112	46	-312	0.15	-0.25	1.52	0.00	0.00	0.00	0.13	0.87	0.00
8479	-132	44	-271	0.15	-0.25	1.35	0.00	0.00	0.00	0.76	0.24	0.00
8515	-153	36	-210	0.21	-0.33	1.11	0.00	0.00	0.00	0.99	0.00	0.01
8550	-153	33	-182	0.19	-0.38	1.02	0.00	0.00	0.00	0.58	0.00	0.42
8585	-137	12	-172	0.15	-0.44	0.93	0.00	0.00	0.00	0.07	0.00	0.93
8619	-115	-3	-162	0.22	-0.44	0.82	0.00	0.00	0.00	0.01	0.00	0.99
8655	-103	-7	-170	0.20	-0.33	0.79	0.00	0.00	0.00	0.00	0.00	1.00
8690	-108	-8	-193	0.19	-0.29	0.73	0.00	0.00	0.00	0.00	0.00	1.00
8725	-115	-13	-203	0.20	-0.26	0.63	0.00	0.00	0.00	0.00	0.00	1.00
8760	-118	-6	-189	0.21	-0.26	0.55	0.00	0.00	0.00	0.00	0.00	1.00
8795	-112	11	-178	0.23	-0.25	0.43	0.00	0.00	0.00	0.00	0.00	1.00
8831	-88	44	-157	0.27	-0.29	0.36	0.00	0.00	0.00	0.00	0.00	1.00
8865	-61	81	-133	0.24	-0.24	0.32	0.00	0.00	0.00	0.00	0.00	1.00
8900	-36	124	-114	0.23	-0.21	0.28	0.00	0.00	0.00	0.00	0.00	1.00
8936	-33	150	-106	0.53	-0.10	0.27	0.00	0.00	0.00	0.00	0.00	1.00
8971	-74	64	-212	0.26	-0.04	0.20	0.00	0.00	0.00	0.00	0.00	1.00
9006	-104	-14	-281	0.52	-0.01	0.28	0.00	0.00	0.00	0.00	0.00	1.00
9041	-112	80	-219	0.61	-0.04	0.33	0.00	0.00	0.00	0.00	0.00	1.00
9076	-103	155	-165	0.59	-0.04	0.36	0.00	0.00	0.00	0.00	0.00	1.00
9111	-90	65	-264	0.69	0.20	0.49	0.00	0.00	0.00	0.00	0.00	1.00
9146	-90	64	-228	0.81	0.37	0.62	0.00	0.00	0.00	0.00	0.00	1.00
9179	-104	68	-129	0.85	0.59	0.70	0.00	0.00	0.00	0.00	0.00	1.00
9214	-39	-67	6	0.90	0.38	0.72	0.00	0.00	0.00	0.01	0.00	0.99
9249	18	-56	118	0.83	0.21	0.65	0.00	0.00	0.00	0.05	0.00	0.95
9283	14	-31	31	0.75	0.16	0.71	0.00	0.00	0.00	0.35	0.00	0.65
9317	-24	-19	-29	0.84	0.21	0.74	0.00	0.00	0.00	0.81	0.00	0.19
9351	-63	14	-7	0.91	0.22	0.75	0.00	0.00	0.00	0.97	0.00	0.03
9386	-47	5	13	0.88	0.18	0.74	0.00	0.00	0.00	0.94	0.00	0.06
9420	-21	4	14	0.83	0.13	0.76	0.00	0.00	0.00	0.84	0.00	0.16
9454	-5	11	29	0.76	0.16	0.75	0.00	0.00	0.00	0.89	0.00	0.11
9487	-16	-7	43	0.71	0.20	0.75	0.00	0.00	0.00	0.77	0.00	0.23
9522	-50	-28	55	0.79	0.30	0.72	0.00	0.00	0.00	0.81	0.00	0.19
9557	-75	-30	93	0.76	0.24	0.66	0.00	0.00	0.00	0.98	0.00	0.02
9590	-81	-48	138	0.65	0.17	0.56	0.00	0.00	0.00	0.99	0.00	0.01
9625	-63	-93	199	0.66	0.06	0.42	0.00	0.00	0.00	0.99	0.00	0.01
9659	-35	-104	255	0.64	-0.00	0.33	0.00	0.00	0.00	0.99	0.00	0.00
9694	-18	-100	351	0.50	-0.01	0.23	0.00	0.00	0.00	0.73	0.27	0.00
9729	-47	-103	386	0.39	0.03	0.17	0.00	0.00	0.00	0.98	0.02	0.00
9764	-122	-74	402	0.19	0.01	0.12	0.00	0.00	0.00	1.00	0.00	0.00
9797	-186	-72	355	-0.04	-0.03	0.05	0.00	0.00	0.00	0.83	0.00	0.17
9834	-234	-96	275	-0.29	-0.16	0.01	0.00	0.00	0.00	0.03	0.00	0.97
9868	-235	-183	244	-0.43	-0.26	0.01	0.00	0.00	0.00	0.02	0.00	0.98
