Time	Gx	Gy	Gz	Ax	Ay	Az
23325	17.20	-29.17	8.00	0.05	0.07	0.52
23343	19.91	-27.57	13.90	0.11	0.12	0.60
23361	16.75	-16.80	15.20	0.13	0.14	0.70
23379	15.73	-12.80	15.98	0.14	0.12	0.76
23397	15.53	-2.82	19.96	0.14	0.16	0.82
23416	9.40	3.83	23.82	0.15	0.21	0.91
23433	2.53	12.74	21.26	0.15	0.16	1.04
23451	1.63	15.06	19.27	0.10	0.14	1.09
23469	2.21	12.21	19.64	0.09	0.14	1.19
23486	5.17	7.71	21.41	0.10	0.13	1.27
23504	6.01	6.03	20.05	0.16	0.16	1.35
23522	5.69	7.13	18.77	0.17	0.16	1.36
23539	2.82	7.89	18.80	0.09	0.19	1.31
23558	-1.66	2.62	23.04	0.13	0.13	1.37
23575	2.41	2.18	24.72	0.18	0.09	1.42
23592	5.02	3.54	24.52	0.17	0.11	1.44
23611	6.73	3.16	23.97	0.13	0.16	1.52
23628	2.96	-2.96	24.08	0.12	0.23	1.65
23646	-6.36	-9.45	24.92	0.18	0.28	1.69
23665	-12.51	-10.09	25.27	0.23	0.26	1.70
23683	-23.25	-6.88	24.90	0.24	0.20	1.64
23702	-25.22	-0.29	21.82	0.23	0.11	1.60
23721	-17.87	4.10	16.97	0.22	0.03	1.64
23739	-2.04	6.38	10.44	0.18	-0.03	1.60
23757	16.92	4.96	4.17	0.16	-0.03	1.57
23775	25.88	3.72	1.40	0.16	-0.01	1.55
23794	39.57	1.53	-2.53	0.17	0.06	1.52
23811	44.74	0.73	-4.49	0.17	0.13	1.51
23830	41.03	1.14	-4.47	0.20	0.21	1.50
23847	36.30	2.75	-4.17	0.21	0.23	1.48
23866	24.69	9.57	-4.23	0.23	0.24	1.42
23884	10.54	18.59	-3.92	0.20	0.28	1.38
23902	-6.30	22.20	-1.01	0.13	0.28	1.36
23921	-19.56	20.03	2.64	0.10	0.21	1.34
23939	-23.19	18.22	4.36	0.09	0.17	1.31
23957	-24.09	14.22	7.69	0.07	0.11	1.25
23976	-19.90	9.00	11.69	0.05	0.07	1.20
23993	-11.35	2.55	15.85	0.03	0.02	1.15
24012	-4.96	-0.46	17.61	0.06	-0.00	1.09
24030	9.57	-3.59	20.55	0.07	0.00	1.06
24048	22.26	-3.78	23.44	0.07	0.04	1.00
24066	30.30	-4.09	26.31	0.03	0.08	0.95
24084	34.01	-8.56	29.07	0.00	0.12	0.91
24103	34.53	-11.32	30.24	0.03	0.16	0.86
24120	32.17	-13.99	31.95	0.05	0.19	0.82
24138	24.52	-10.22	31.85	0.10	0.22	0.75
24155	14.39	-3.19	28.67	0.08	0.23	0.69
24174	3.23	2.61	22.51	0.09	0.24	0.62
24191	-2.75	6.15	18.40	0.10	0.24	0.59
24209	-15.06	13.32	8.83	0.06	0.23	0.55
24227	-25.73	14.39	-3.48	0.05	0.22	0.50
24245	-30.55	15.75	-10.59	0.04	0.19	0.44
24263	-38.13	16.57	-25.39	0.04	0.17	0.40
24281	-42.07	15.53	-39.47	0.01	0.12	0.34
24299	-40.86	8.87	-50.83	0.01	0.08	0.27
24318	-37.95	7.84	-58.27	0.02	0.05	0.19
24336	-37.72	18.51	-60.18	0.01	0.04	0.13
24354	-34.61	10.68	-62.58	-0.00	0.04	0.12
24373	-32.12	8.71	-59.71	-0.01	0.02	0.11
24391	-27.59	9.45	-54.46	-0.01	-0.01	0.11
