Time	Gx	Gy	Gz	Ax	Ay	Az
34690	-64.04	2.43	-163.85	0.12	0.02	1.16
34709	-65.22	1.30	-181.18	0.06	-0.06	1.11
34728	-58.70	-5.04	-190.51	0.01	-0.12	1.07
34748	-46.65	-13.67	-192.79	0.02	-0.15	1.02
34767	-40.13	-16.72	-191.44	0.05	-0.15	0.95
34786	-27.22	-19.29	-183.30	0.05	-0.16	0.92
34806	-13.73	-19.94	-169.78	0.05	-0.17	0.85
34825	-1.24	-19.32	-151.82	0.06	-0.16	0.79
34846	9.00	-16.11	-131.79	0.08	-0.16	0.72
34864	19.29	-11.00	-111.59	0.08	-0.17	0.66
34883	29.88	-5.75	-89.23	0.08	-0.17	0.59
34902	40.16	0.03	-64.67	0.08	-0.15	0.54
34921	48.83	4.21	-40.51	0.04	-0.15	0.47
34940	52.87	4.65	-29.53	0.03	-0.15	0.43
34958	59.31	5.16	-9.84	0.04	-0.12	0.33
34976	63.54	6.44	8.42	0.05	-0.11	0.24
34995	65.23	9.87	24.46	0.06	-0.07	0.15
35012	61.89	13.90	38.21	0.09	-0.02	0.08
35031	58.85	17.96	44.16	0.12	-0.02	0.04
35049	51.90	28.06	54.84	0.10	-0.02	0.02
35067	45.21	33.26	61.86	0.03	-0.03	0.05
35085	38.77	32.50	64.97	-0.00	-0.03	0.09
35103	31.02	28.26	64.96	-0.03	-0.03	0.12
35122	27.18	25.22	64.44	-0.04	-0.05	0.14
35141	22.08	14.80	61.66	-0.07	-0.07	0.19
35160	17.61	3.65	57.59	-0.05	-0.07	0.24
35179	12.50	-4.96	53.33	-0.05	-0.05	0.27
35197	4.97	-14.16	50.57	-0.07	-0.03	0.33
35216	-3.17	-25.76	49.45	-0.07	-0.04	0.41
35236	-9.03	-35.84	49.59	-0.01	-0.04	0.47
35255	-12.01	-38.39	51.51	0.00	-0.02	0.51
35274	-18.37	-41.40	60.10	0.00	0.00	0.56
35293	-27.30	-45.50	66.96	0.03	0.01	0.66
35311	-32.18	-44.33	67.89	0.11	-0.09	0.73
35329	-25.28	-34.42	74.66	0.19	-0.10	0.84
35348	-19.21	-19.10	87.81	0.18	-0.08	0.97
35369	-9.81	-6.93	89.51	0.21	-0.16	1.02
35388	6.68	6.76	83.47	0.24	-0.08	1.08
35406	10.28	15.09	82.43	0.27	0.02	1.14
35423	12.25	30.91	82.06	0.18	-0.05	1.25
35441	20.68	35.80	76.22	0.13	-0.01	1.29
35459	21.36	33.45	69.03	0.10	0.15	1.35
35478	15.24	31.16	67.70	0.08	0.22	1.39
35495	-1.11	24.37	69.31	0.05	0.15	1.44
35512	-6.42	15.30	71.70	0.07	0.08	1.43
35531	-7.86	8.47	72.68	0.12	0.13	1.55
35549	-9.66	6.68	72.88	0.14	0.12	1.57
35567	-9.05	5.43	72.62	0.15	0.05	1.62
35585	-2.56	4.50	73.29	0.16	0.05	1.70
35603	4.32	3.78	73.67	0.20	0.06	1.72
35621	7.42	5.23	72.92	0.23	0.07	1.70
35639	10.30	11.58	69.56	0.25	0.09	1.71
35656	11.86	19.62	64.16	0.25	0.12	1.72
35674	9.37	26.89	57.97	0.25	0.17	1.65
35692	6.21	31.07	54.44	0.25	0.18	1.62
35709	-1.92	40.76	46.30	0.25	0.19	1.59
35727	-9.58	47.26	37.03	0.18	0.16	1.56
35746	-12.37	45.44	26.92	0.10	0.11	1.52
35764	-10.21	36.29	15.24	0.06	0.06	1.50
35782	-7.43	30.35	8.59	0.06	0.05	1.50
35799	0.98	18.94	-5.92	0.07	0.01	1.51
35818	10.60	8.61	-20.80	0.08	0.05	1.51
35836	12.19	2.04	-35.95	0.12	0.12	1.44
35854	10.12	1.74	-44.37	0.19	0.14	1.39
35872	2.30	7.72	-62.55	0.19	0.17	1.37
35889	-13.32	13.87	-81.22	0.12	0.21	1.33
35908	-31.43	12.13	-99.15	0.04	0.18	1.27
35926	-47.16	3.22	-116.82	0.03	0.14	1.22
35945	-53.50	-0.78	-126.02	0.06	0.11	1.20
35964	-61.94	-5.39	-143.71	0.09	0.04	1.17
35985	-62.52	-7.74	-159.88	0.08	-0.05	1.12
36004	-55.56	-10.59	-172.29	0.07	-0.10	1.07
36024	-44.30	-11.99	-179.43	0.10	-0.14	1.02
36043	-29.57	-9.03	-181.18	0.11	-0.17	0.97
36062	-13.87	-5.48	-177.26	0.08	-0.16	0.91
36082	-0.49	-3.51	-167.07	0.07	-0.14	0.86
36101	9.84	-0.99	-151.02	0.07	-0.13	0.81
36121	18.04	0.93	-131.36	0.04	-0.12	0.76
36139	21.12	0.87	-121.15	0.04	-0.11	0.74
36157	25.67	0.15	-99.55	0.04	-0.10	0.69
36176	29.69	-0.46	-76.25	0.03	-0.12	0.63
36196	34.61	-1.53	-53.21	0.02	-0.12	0.59
36215	39.96	-5.02	-33.42	0.00	-0.13	0.55
36234	46.66	-9.93	-15.67	-0.00	-0.13	0.48
36254	51.50	-13.55	2.32	0.03	-0.11	0.41
36272	53.30	-13.89	11.18	0.04	-0.12	0.35
36291	56.92	-13.70	27.47	0.03	-0.11	0.33
36309	57.88	-13.43	41.46	0.03	-0.06	0.28
36328	53.10	-11.41	53.18	0.08	-0.02	0.23
36347	45.76	-2.98	62.38	0.11	-0.02	0.19
36366	38.48	6.76	69.23	0.07	-0.02	0.19
36384	35.06	9.78	71.21	0.04	-0.03	0.22
36401	28.37	12.50	71.88	0.03	-0.03	0.23
36420	22.49	13.76	69.14	0.02	-0.03	0.25
36437	15.91	12.53	65.19	-0.01	-0.03	0.29
36456	10.19	6.27	59.60	-0.05	-0.04	0.36
36475	5.07	-3.20	51.21	-0.05	-0.04	0.39
36494	2.46	-7.89	46.81	-0.04	-0.03	0.41
